,gender,age,id,became_member_on,income
764,,118,ed46fca6de7042478b411690878dc069,04/05/2018,
772,,118,b5ba5b2d5664459db99cb011875a4a1c,07/08/2017,
780,,118,b5a4426b80024f66b21770f8c99b0563,01/09/2016,
782,,118,95b95235974640cbba424d0b3e3a1f30,09/20/2017,
783,,118,45917f374e59414b83ae797d61239117,08/31/2017,
785,,118,a7f70061149649d0a0d43d5a507f7822,09/03/2016,
787,,118,6415384bba874cc283c88ba830b441cd,05/05/2018,
791,,118,1613a53bee9140d1af95ef481a08c372,02/29/2016,
797,,118,218ca70819f7456eb87f6457628bef29,05/27/2017,
805,,118,cc1891e307dd48f49bdb894ede98f8a6,08/06/2017,
821,,118,0d799e1906ff4387bfc3cfab8600ff4e,04/17/2018,
835,,118,69a2ee5872384fb6a0bf2d63a5db9574,12/20/2017,
837,,118,c039e4d31d48483bb1f67730baffe92c,12/08/2017,
838,,118,dbd45a5848b04bfcb72db4e5f51e8069,11/13/2017,
841,,118,de3f4ed5cb4a489db3326317a09cb068,12/22/2016,
842,,118,312b2643dbd24597b1a9c45a84a29527,08/29/2015,
847,,118,0d219e744675450583b6981e39306587,06/03/2016,
853,,118,3909e7107fb7499ba95e0f2882f6b12d,12/21/2017,
855,,118,c4e955dccd834bc9897954176f0e9622,04/09/2017,
867,,118,bbb006e2e4524989adb8838954fb96d2,02/14/2017,
893,,118,b93ca45ff1c14f5cacad3c011e1e7fe3,09/14/2015,
899,,118,cb6f79f5cba444099bc59dd466551ff3,11/05/2015,
900,,118,c081384f13c441d38583a0f9fa0f3c25,09/05/2017,
904,,118,c1da72caf3c34c359429b217456cf2eb,03/06/2016,
907,,118,3cc93a4270c347ff8588a7d8a8ea6553,12/09/2015,
914,,118,bad805c0568d49ae9bf2f046b6ea2be0,12/09/2017,
923,,118,dfac83ff61aa420e827d39ad0985cb62,10/30/2016,
927,,118,2d159d2ab57e44bbaec3ba7b31c13f7c,12/17/2015,
931,,118,9f80078fe2a04c74a91bacf3ed9ae8f9,10/16/2017,
935,,118,8d91f3193485407383ab8aefb1aaf830,08/12/2017,
947,,118,d5693531c45e49bda3af20db740101af,10/25/2017,
964,,118,f164f2cddf3b4101aaac8115d65e5041,07/12/2016,
966,,118,eaf82df1ddce4a1e87dbd946ffbf4a39,01/23/2018,
968,,118,87f1b04d4a4340f9acb453c3203c1793,07/09/2018,
970,,118,ab37a7049b4747e1840cfcc298aca0a4,05/10/2017,
987,,118,cc642120eeac4659a9451fe7e869a046,11/24/2015,
992,,118,6ee88043c07c4915884403656e054886,08/13/2015,
994,,118,77761cb48d174951b3fbab5f9053f3a1,11/29/2015,
1002,,118,761427dca791440990011584f930078d,11/12/2016,
1003,,118,5a609dc56d1c4f6d848040b23ca6c806,01/11/2018,
1023,,118,44b02bac48694f92aa88cc04e597f6f0,05/02/2018,
1050,,118,543df9ba7ffd41e3a806ad6388e1673e,03/19/2017,
1051,,118,ece8acca69974af1a4c6d3a1c7a51811,07/06/2017,
1052,,118,d8c37aab56804696abd5a8f908fce779,12/16/2017,
1053,,118,bc62f4b408144010914d5755f1d17bdf,06/23/2018,
1062,,118,d5d0c3591e6d452f896b82442bfd1f3c,04/13/2016,
1069,,118,72538ce73a084aa8ae863c2d0ceffeeb,01/14/2018,
1070,,118,f5469a1a88bf4e62a6d5ce4f36bfe1b7,09/11/2015,
1082,,118,27eb22b701af40ac9ed610c10718fc1a,03/29/2014,
1086,,118,91a69d5cba394b1b8206daef3d95514c,11/28/2017,
1091,,118,1b30646b85f5460eb255457678e02211,03/27/2017,
1094,,118,0485b8cb0bfc4d938895bbd6d8cbd7df,03/25/2018,
1103,,118,087339125d104a39bdf4e6e18be64ece,09/06/2017,
1110,,118,f0cfff24201745f79321abb1101ebef2,10/02/2016,
1111,,118,56d8d9f4035c4e6aa14f39abaec82571,05/31/2017,
1133,,118,21a6d6b94e394809a1cc66513b60ecc7,09/04/2017,
1134,,118,6794b7bff3864634bae703a17eaece14,09/05/2015,
1138,,118,a3bd3fe98b46473da7e01edb9aa17cef,11/28/2017,
1162,,118,fe4b84c6bd5d4c6098f6299220965440,10/29/2017,
1188,,118,8e8c022a3b034c139b5f34f5dfa0fbad,11/01/2017,
1196,,118,8ceafd5b09354f0285e47d410b258b91,02/24/2016,
1201,,118,098d124614df4e4b862d678160b98638,01/01/2016,
1215,,118,89db13f87ed64047b4242a5836d3db42,09/26/2017,
1218,,118,d558b038136e4474a94ac2bb0a67efc9,11/26/2015,
1219,,118,cbecec5803434d63bce1e4c451d4b2d7,04/20/2017,
1232,,118,28c0952297a3447f9a067d65469270b3,02/03/2018,
1248,,118,bf5e5a7d926e4cbfb2da22f8f7d5c18c,07/17/2017,
1252,,118,62bacb593a434f0d96b814075418e983,08/10/2017,
1271,,118,08a06986ff2d45079b0b8a9322a570bf,02/15/2018,
1287,,118,bd2ede5a3d4147118a6e72bf7d134153,09/01/2017,
1292,,118,834d166621774353815b037a1d1fcadd,07/27/2017,
1299,,118,5b795cd47abb4c11b16d9a63100eecb3,03/17/2016,
1304,,118,d8fc164eb048450797d598b391c09ffa,04/13/2017,
1305,,118,48e69836abe64357b92e8f0d314cbe46,07/10/2016,
1313,,118,2e51a42242954c69acf329eec82b849d,10/12/2017,
1325,,118,d3f998b289524c48862d1ed0cd3f7fb6,06/10/2016,
1338,,118,a16e3e6a77ee4f359409f8f19d2b8d2c,05/20/2018,
1344,,118,7b5e5ed968fe4cdfac14223e3ee4b8de,05/16/2015,
1351,,118,6c0bf1e9a354447689cac11e0e239ea0,11/28/2017,
1359,,118,9721f24798b04dd18723e4504512cbb6,08/13/2015,
1364,,118,eb3ada86b4e3441b94d53427aa0d9eed,04/13/2018,
1373,,118,881f7a5d11bf424cb8535fafe54da6e2,07/18/2018,
1375,,118,409e23b7a2dd4359a79303fe3898d9a9,06/13/2018,
1377,,118,3902e17a5bd44044934cf38fd11ec014,03/06/2016,
1381,,118,3f8b8ce1768d427588f442776e989b1e,08/12/2015,
1389,,118,b30b3c2959494bed9f12faf317975380,08/28/2017,
1397,,118,c8ecfc8685bd4cbc89f5a0e67c05ed2d,02/25/2017,
1415,,118,bea39bf06adf4610b588deaba0bd791c,07/31/2017,
1420,,118,94613cfbdf45424d94e232e56e64d592,03/08/2017,
1422,,118,9b3a49d67c9042c19109e55553706dff,12/29/2016,
1425,,118,7bd5b229cf21400e90c42f2d7976ffa4,08/29/2017,
1426,,118,7e0b1114c08546b8b52e0980189ce292,12/31/2015,
1430,,118,75afb8d248164d62b326d4b1cc13303c,07/26/2018,
1432,,118,f9e5aa24beea48498e4ec7c1a2cce240,06/22/2016,
1434,,118,aaa997c6872b44b4a82a21d998c087c8,08/03/2017,
1439,,118,496cca27500b46c09957bd056ef743fb,02/23/2018,
1454,,118,2520b80ef6024377adb7d8fb5691160e,05/06/2017,
1458,,118,f47de7e07e1149429d604937326ae500,11/17/2017,
1468,,118,0cbb7a6f90b94efd801ed46d95a22c9d,11/09/2017,
1480,,118,3d3e9cf3fd384c99890a5711ab998816,03/21/2018,
1481,,118,603f3605295449339d3697415ca7be49,01/07/2018,
1494,,118,55289282866847c681072561a2cd5474,01/03/2017,
1516,,118,0903e02ddbb7438f8de18081d1595a34,01/23/2018,
1519,,118,984ec7ad847d484d93d47a261f759168,08/15/2015,
1521,,118,b90fff218dad4f849c4fff20b4112c01,02/08/2018,
1530,,118,31f6a03cc7c642ee8b074adca55f46be,12/14/2016,
1545,,118,9527afee9814451ab8d079fdc927b514,09/26/2017,
1550,,118,f62c30d272514551b02d14486210a0b3,02/03/2016,
1554,,118,9c764c3665654ddc8897ba0c67ad92b5,07/31/2016,
1563,,118,d178974f82af496a9f93c675d58ce27d,06/17/2018,
1564,,118,2c71bfd6c1f54aea912d02e44c3f7617,06/28/2017,
1566,,118,cf816a51eba94005985fa27fa7f0fe44,02/21/2018,
1574,,118,b23a9899a5674d2a8ebb29f79ab15544,03/30/2017,
1578,,118,dc604edf1ed944c38d9d007a30fc28b5,06/09/2018,
1580,,118,9707abc5b1704e9c9b0eba14be1e0aa5,06/28/2018,
1584,,118,401540c42ab34de1b873b34bf46e9149,09/05/2015,
1587,,118,f4f6fa9f813640baab5fa4e66c3b6707,08/16/2016,
1590,,118,5d37023bf1e84b39953a2d6ec2670708,08/06/2015,
1615,,118,2e868c31f1bf4085a44b868a75ddda77,09/23/2017,
1632,,118,13ecf35c6ec649db93b66c311b7e75ba,11/19/2017,
1639,,118,7266ae3ba556431295c89e6ad3add995,02/13/2018,
1645,,118,3c115476638f4763a6393add7266e1bf,05/22/2018,
1647,,118,df1f60e8aa4c42ad99854c179ab4ff71,12/17/2017,
1659,,118,ee0089665b36416899b946ba07de9457,05/22/2016,
1665,,118,dc307ad4b2994fb08b69af09ebef53dd,06/28/2016,
1668,,118,dd2b1fc955274b558f004a1540baaed1,05/27/2018,
1677,,118,304ff67061484ca6a8823a0313ac8fc5,11/07/2017,
1681,,118,cd386c25a09d40ee99b155cf24357c8f,08/15/2016,
1684,,118,212a2120b14d4ed88a10d2524c715b28,02/25/2016,
1687,,118,120dee561e744f748747331688866adf,06/23/2018,
1700,,118,ab085dfb81654d2aa6f173e1dd662d59,09/14/2017,
1710,,118,e0f1ca131f4b40a7a5f232b11efa4aea,01/27/2017,
1738,,118,703f473f85a64efcb5414f3f183835e6,05/12/2018,
1751,,118,c02340ed0fb4448b9a651f643fddac95,04/14/2018,
1759,,118,8fecf802b2d44d15afa079e46ce207c5,07/24/2016,
1767,,118,4c3ced252b9b4d45bc216b8264021791,01/01/2016,
1772,,118,03c7b0b202294fbe8edbd73b0b499fac,03/05/2017,
1775,,118,59d3df1373c94ad2aeeb41be729959fb,08/06/2017,
1778,,118,408574b846484c9f97f458b678a01a0e,12/07/2015,
1796,,118,e96ce7cd685344ca9335f6f9464050f5,05/02/2018,
1807,,118,fc89955c8b494533bad2ddf5ba2fb43f,07/28/2017,
1818,,118,e42344cbd2fc4d83b924ebef3d7972eb,07/22/2016,
1842,,118,6a9abef5db1849248245c6c2f23deef5,03/21/2016,
1845,,118,0bb1b63ae72141ceaa722b966df2d6d2,05/13/2016,
1865,,118,b15c6c3ab13f4994a1d602e1188b4fd7,07/22/2017,
1874,,118,8ff5631582df4e07a0df6d4c59c86000,11/10/2017,
1879,,118,d5299e0003e44a11858e28bc4fd86d0c,02/14/2016,
1882,,118,8106a980e679458d95261d5568f59f4d,02/17/2016,
1889,,118,9e1b77408fdb414bb6d36a1aa04567e8,10/30/2016,
1890,,118,8652c3edf3e84c70b635dbdd4cddd397,05/01/2018,
1909,,118,6cd7e548e2a04429bf4e248e045b4f4d,01/13/2018,
1918,,118,41aaf597e9524875a1cdf4a2d9adfe00,06/08/2017,
1921,,118,56468e5325c641ae8beecd36f228b690,05/20/2016,
1934,,118,7bc2214e63aa472cbb0a23d4e6877298,12/04/2017,
1950,,118,fb531e0001874b2e9d55076aafb40c4a,11/26/2017,
1956,,118,3762c69237414fd49960363371a47c5b,01/01/2018,
1976,,118,87244fc214644f6584944d8180991601,09/09/2015,
1985,,118,3673655033ee4bf782a1440da5617064,02/10/2018,
1988,,118,5586f134881d439f9223201f3a1ce9a7,10/28/2014,
1990,,118,02a00d256444415da8460cd2a3457ea7,12/06/2015,
1992,,118,88247de5c0b441d39e45cec0f89c81b6,02/02/2018,
2005,,118,5aa2cd5e17c540ada955ba41c117ad74,07/01/2017,
2007,,118,41f61457312a4186a7c3160e66f013e5,06/27/2017,
2009,,118,a733eb13c7b8458697dd1f113e66d795,06/28/2017,
2021,,118,70712affff0d4f3891bc0d2c58d7698c,03/30/2016,
2038,,118,5356198b00864b79942f118cb54fd5a7,11/15/2013,
2044,,118,79fab69fded44704b5a3ccbb9ce8a322,10/08/2017,
2071,,118,0e5a036dfa3e4b2b89672b2e008086b7,06/05/2018,
2072,,118,6c40d0aacba44dec9f473c8e4f220936,01/31/2016,
2077,,118,7567420e270145bda103f22a7c15efa3,04/02/2016,
2078,,118,3a3eee35ef4e47f5be2e47c620b15810,11/27/2017,
2091,,118,fe27f786458b481383a4ca6dbf5a83a5,11/13/2017,
2093,,118,a0a8652d003f47d08ce7068066d18eab,11/28/2016,
2103,,118,750d116772de4b6e8683ae05f591e385,11/01/2016,
2109,,118,123ac69b408044deafb64369fcc85a67,06/30/2018,
2111,,118,4a6b6b268e7b4c6ebf96bc92cd67cf0f,05/02/2018,
2113,,118,fa23afe7a35b4cc3b241029d98452c24,09/30/2017,
2120,,118,f168dfeb0f904c369419f5927e15bb0e,12/21/2015,
2128,,118,6e92b54c462347d399b202640f460f6f,04/11/2018,
2134,,118,5d8b0c1eb8fc4ca3bfcb84922c0b25b3,10/27/2016,
2138,,118,7e855376e2174402bcf964468f4a71c1,09/24/2013,
2145,,118,208ee0fcd764461c8cd493c68a72bd81,09/13/2017,
2146,,118,43fad197697347f88bd70d89421b5030,04/11/2018,
2152,,118,d018a8a3bef243b1b37414073ef5e74a,07/03/2016,
2155,,118,09b7c854b70f495d883b9004d83d0137,07/27/2017,
2159,,118,2b8f9526aeda47eb8210ba7be559106c,07/07/2018,
2170,,118,91659a8581b3422480a27aff43e9ba45,03/18/2018,
2171,,118,530a3bab3e7e490192193bef66e0fa57,12/07/2017,
2174,,118,c8616f2d495c412c95dd5bd646553624,10/17/2017,
2185,,118,2c4fbcf0ef95498f923f7c7424dc4839,03/31/2017,
2203,,118,0fa15afeba8742808fac651d0611a018,03/03/2018,
2206,,118,6b156ccb18904aacad8cf8328f681101,12/12/2016,
2219,,118,e93fb1a740ef4f6fa8f98d7c82492ad0,07/21/2017,
2221,,118,020354b1aea342cbaa018993f68fba68,09/10/2017,
2231,,118,e5fec103d6ab473998b14851f448cbf5,03/02/2016,
2242,,118,35ede829c96b4fbe896ac31d92521d47,02/19/2017,
2249,,118,c8b4d93c75bd40798a05a0b8cfae73fa,06/02/2018,
2250,,118,104cbbfdad2848a697b4632d871acc3c,06/08/2014,
2262,,118,220d2909c34244d095d72ec3dc4926a2,11/16/2017,
2280,,118,998361929c1d48bbb39bbc9f877c44b2,02/11/2018,
2296,,118,8f603ca13a9740dd9d6cc553166b5a2b,08/20/2017,
2308,,118,81f93887a5404d19b46fa8e83494851f,12/10/2017,
2318,,118,e304dfcda07a43f694d3790607b4659d,06/16/2016,
2327,,118,86d1c0779345461fb1f5811627c93b3e,03/11/2016,
2331,,118,dde32d858ed647309b49a602c5dc0435,11/04/2017,
2345,,118,2ed795282792477091388a62bcdfd4ad,02/22/2016,
2353,,118,06ef15a17adf4d7189287d691d3965e4,11/23/2017,
2384,,118,c69c472adbaa425aa5cfd727f4978ea1,06/06/2017,
2393,,118,842080dc78d846858b4a40c3000529cc,10/02/2015,
2397,,118,86b6a45fc49d443ba50c4e887c3d2610,07/05/2017,
2412,,118,8ab2f916aa2a4d6898dbb2a458c89488,07/02/2017,
2417,,118,110ed1f7717947f49601171c5954a78d,06/26/2018,
2420,,118,032aaa79b15e4103a9e91a786d416734,01/30/2017,
2421,,118,390d897a08e94263bc968889972bb65c,08/04/2017,
2429,,118,8e269f4308474449b814df285c4de66d,11/20/2016,
2431,,118,484bf924471342f38b859547b0917448,11/07/2017,
2437,,118,18b4fdca88b347aa8a7d8ffec773eaeb,11/10/2017,
2439,,118,27c403350609417a8daf0be3125174a3,08/28/2017,
2441,,118,290cdbe5173940758a689238b72f80b0,08/25/2017,
2444,,118,e28384727cc043a0a813262bcca0370b,06/06/2018,
2454,,118,4806e4b0352b40b7ac0bcb8163875194,02/20/2016,
2455,,118,ccfd44eac85a466abbd7881b302b68ea,07/27/2016,
2461,,118,fcaddab0e0484a4e9912113ae57f94ca,10/14/2016,
2463,,118,331f88bc7b5042ec9a4c90bb8e516cb5,07/31/2017,
2470,,118,1971866be459439aa62669bd4d56f394,11/06/2017,
2484,,118,b784713fea5f44f794f87259662eb766,04/22/2017,
2486,,118,eefff7e6ce0344c2a85ab5dd21db8399,09/10/2016,
2490,,118,bcd790a08f8f4eecac9cd3713189acf8,08/09/2015,
2502,,118,2c8b37d63ff64691b7759120eba028e4,12/22/2016,
2514,,118,923afabe892840a4a909b00a3114a290,01/29/2018,
2517,,118,1bfed1986f2e4551962088417ac886d5,10/05/2017,
2526,,118,439b5d9ddd9946e68c6f6b6ad197e710,06/28/2018,
2539,,118,c029ebbd5e584674bceec4413373dc20,11/08/2017,
2545,,118,ea5f76f81dc8488a955172fb91d06bca,01/23/2017,
2548,,118,bf4a0a21b0b64c869a573f6a4e91de18,03/07/2016,
2553,,118,54cd90763b0a49cda2b145a911890174,02/22/2018,
2571,,118,a665c305ca944b12a2e3a6f352de7a96,02/04/2018,
2601,,118,f0aba2cbde6042bf8b46ed5478aa724b,01/15/2017,
2607,,118,9d51382187a24b249a2bf1bf659188c9,03/17/2018,
2608,,118,a85bfafef1214b86a1ecb57fca38f0ae,03/25/2018,
2641,,118,94a67c2fb1b647ee93f6f147a100e9b3,03/12/2017,
2642,,118,de1805d4829043babe77b08fcbe3785e,08/15/2017,
2643,,118,c3b1e510416f4300ac8f09d058111889,05/29/2017,
2663,,118,60038831ac7b4638ae031f61c61486a2,11/13/2017,
2667,,118,6683f9a3e9344658ba4d8776410086e6,02/20/2017,
2670,,118,fd10d3f58b1b4ecb914ed677e06a4e51,10/14/2017,
2674,,118,1f95b63330504bcca452f946a265461e,01/04/2017,
2675,,118,3f7ac208f7e844cab207ceb8e42177ba,05/08/2018,
2716,,118,ed1418961ec34a12bed2a53bb712b58d,01/24/2018,
2717,,118,f21dc202f8084b96a2cbaf006a35e187,09/26/2017,
2724,,118,efdba8d2ce644cbf8914762303489a48,03/10/2018,
2727,,118,7e000dcb51f84ee2809f728294e5b92c,08/30/2017,
2736,,118,3488368c95a74463918eff304275d3ca,09/18/2016,
2747,,118,87576d8c2371491f9d6127f2235bfdfe,04/07/2018,
2751,,118,cfc4bbee38734ac2a99ecc012ae12f0d,08/23/2015,
2760,,118,dcc4cddbb55f4241a7bc73205e290262,09/24/2017,
2762,,118,2c51298e7b644623a3760b4bb5a92bde,01/08/2018,
2764,,118,ed851c7728e34d21854a3ece16c3417a,09/20/2017,
2765,,118,ebae5093b436466c9fbd097cb7434023,12/03/2017,
2771,,118,6c8127555baa4332a22044807c26aa04,07/20/2018,
2779,,118,d531d1b3ea68440889634a0239c20878,07/15/2018,
2783,,118,2d3b0e95fc3c4b31b07be43ddf7597cf,07/13/2016,
2784,,118,2347c2ad74fb40b1a9652cd9d1ca04ba,06/27/2016,
2789,,118,5e8b47c6fcec4da0afbe79062da79e04,07/20/2014,
2796,,118,405abb415d4b44379feec2185f49cee3,08/24/2013,
2798,,118,5dca7efd64aa40e9aa8f8d1b3d9bd6a1,05/23/2017,
2810,,118,a8d49189b41b45e3a54954e01d911110,11/26/2016,
2815,,118,15034cd1fcd9449d8661d510bf4bbdf7,06/26/2015,
2829,,118,95da17c7b7f04e3e997427fb451830eb,09/25/2017,
2845,,118,cd15d81298054b478592e89a093bba18,09/26/2015,
2857,,118,2da84ad1e6894d9197b376a9dafed1db,10/22/2016,
2864,,118,baabcdb7520b401c89f2a26799a4e3fb,07/01/2018,
2867,,118,256febc6ae7440a1861d688f876d7830,12/08/2016,
2877,,118,ee916f63db3e4148a0e0cfbf7a42e795,06/13/2018,
2879,,118,32f515e5caa64ab2a32827c89cd94c54,12/18/2017,
2882,,118,9c10540f4b6842deb88e827d8d1260da,11/18/2016,
2886,,118,b685bf9de0794b44ba299464a95aa679,08/10/2013,
2891,,118,9209b9540a0c4ae08cda81a6db0e4019,08/02/2015,
2897,,118,360b8705b0564f2194a16ec4866b1164,12/04/2015,
2908,,118,d79a422d00674d80a30311c203ad0e6b,03/09/2016,
2926,,118,824d6913ba1b4f6e8e3fba70714fb90f,09/19/2015,
2928,,118,5d8afafc8f544d44a7c63cec59a17298,01/06/2017,
2934,,118,6d2b7ff9551c468ca7051932d792d570,06/18/2018,
2951,,118,a3ed9f40184c405db2102ac4b78bfbaf,11/03/2017,
2969,,118,ec7cadf8b78e44d080ee8d099f94acc5,03/23/2016,
2983,,118,d24cd08e13a1412c9fc9d5a675d0f148,01/26/2018,
2985,,118,2ad11a6f663a4ac1ae56b0b0c54c8086,02/11/2016,
2988,,118,af9560ee481a406381c58c9f7b79cc2b,10/11/2016,
